"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"255","RPW",82,0.1,0.4,0,0.2,-0.00307799674011498,-0.0026794174573348,8
"256","RPW",82,0.1,0.4,0,0.3,-0.00233286367175793,-0.00335413034581222,8
"257","RPW",82,0.1,0.4,0,0.4,-0.00215625807017809,-0.00285784311057291,8
"258","RPW",82,0.1,0.4,0,0.5,-0.00337789242060089,-0.00449609385817656,8
"259","RPW",82,0.1,0.4,0.1,0,-0.00128552353202224,-0.00265490940977298,8
"260","RPW",82,0.1,0.4,0.1,0.1,-0.00133040403479832,-0.00330813012448294,8
"261","RPW",82,0.1,0.4,0.1,0.2,-0.00197179935948086,-0.00393936127662714,8
"262","RPW",82,0.1,0.4,0.1,0.3,-0.00215651418721202,-0.00363434399397222,8
"263","RPW",82,0.1,0.4,0.1,0.4,-0.00221287323651488,-0.00452308432792559,8
"264","RPW",82,0.1,0.4,0.1,0.5,-0.00302394569872941,-0.00488453517616017,8
"265","RPW",82,0.1,0.4,0.2,0,-0.00280018499967701,-0.00142084862351527,8
"266","RPW",82,0.1,0.4,0.2,0.1,-0.00217159723296741,-0.00441403815389146,8
"267","RPW",82,0.1,0.4,0.2,0.2,-0.00240017896867391,-0.0048234334850305,8
"268","RPW",82,0.1,0.4,0.2,0.3,-0.00378728538804618,-0.00299212916915143,8
"269","RPW",82,0.1,0.4,0.2,0.4,-0.00183087124320551,-0.00458964275193846,8
"270","RPW",82,0.1,0.4,0.2,0.5,-0.00347187611956168,-0.00428334191261465,8
"271","RPW",82,0.1,0.4,0.3,0,-0.00232823447699473,-0.00348631282869,8
"272","RPW",82,0.1,0.4,0.3,0.1,-0.00261576543980804,-0.00560437423752014,8
"273","RPW",82,0.1,0.4,0.3,0.2,-0.00208895652608319,-0.00375731071577989,8
"274","RPW",82,0.1,0.4,0.3,0.3,-0.00367779600397468,-0.0042337968671704,8
"275","RPW",82,0.1,0.4,0.3,0.4,-0.00367744407338731,-0.0039109835617176,8
"276","RPW",82,0.1,0.4,0.3,0.5,-0.00427005226860187,-0.00405324796907858,8
"277","RPW",82,0.1,0.4,0.4,0,-0.00251853738834648,-0.00434736873005898,8
"278","RPW",82,0.1,0.4,0.4,0.1,-0.00281446454297475,-0.00476049067999113,8
"279","RPW",82,0.1,0.4,0.4,0.2,-0.00284402916501005,-0.00493586064318613,8
